"athlete_relative_age","count","avg_total_distance_m","avg_max_speed_kph","avg_session_load","avg_sprint_events","sd_total_distance_m","sd_max_speed_kph","sd_session_load","sd_sprint_events","top10_t_dist","bottom10_t_dist","top10_max_speed_kph","bottom10_max_speed_kph","top10_session_load","bottom10_session_load","top10_sprint_events","bottom10_sprint_events"
18,1531,3864.65958850425,21.1673416067929,546.631933376878,3.30698889614631,2403.4102948372,7.01562969750468,407.748072882024,11.281592248988,7019.1,459.23,26.89,9.28,1090.54,37.7,5,0
19,306,5202.39081699346,21.8469281045752,688.504150326797,1.54901960784314,1871.2836771129,3.9061098472875,301.245900750174,2.43725504419089,7706.43,2958.235,25.96,17.83,1010.61,369.855,5,0
20,1086,3974.78600368324,21.4084346224678,531.122200736648,1.25782688766114,1943.83812921131,3.95313678621934,315.597454716072,2.38926332503639,6761.51,1580.405,25.505,17.335,955.34,189.57,4,0
21,334,3619.5598502994,21.7397005988024,534.861437125748,2.04491017964072,1603.80225201015,4.13003529060967,318.647998615011,3.70063152929764,5390.36,1683.178,26.625,16.205,988.641,210.513,7,0
