"athlete_number","athlete_relative_age","active_minutes","total_distance_m","max_speed_kph","session_load","total_dist_perc_rank","max_speed_perc_rank","session_load_perc_rank"
1081,18,120,5269.62,28.19,1079.28,71.5032679738562,94.5751633986928,89.4117647058824
1081,18,120,5535.15,26.86,1220.33,75.4248366013072,89.6732026143791,93.3333333333333
1081,18,120,2018.08,23.18,398.02,25.359477124183,63.0718954248366,40.0653594771242
1081,18,120,382.69,10.19,46.17,5.35947712418301,11.1764705882353,12.9411764705882
1081,18,120,226.68,7.02,27.43,1.69934640522876,3.92156862745098,5.09803921568627
1081,18,120,2051.41,19.65,153.93,25.8823529411765,26.9281045751634,18.6274509803922
1081,18,120,4508.86,22.97,403.21,60.0653594771242,60.9803921568627,40.4575163398693
1081,18,120,4060.59,22.69,391.09,52.483660130719,58.9542483660131,39.2156862745098
1081,18,90,3344.53,19.52,328.93,42.2875816993464,26.0130718954248,33.7254901960784
1081,18,150,7064.67,24.46,871.95,90.5228758169935,71.7647058823529,79.5424836601307
1081,18,120,5169.91,19.21,586.14,70.1960784313725,23.9869281045752,58.8888888888889
1081,18,120,543.56,10.22,31.11,12.7450980392157,11.3725490196078,6.27450980392157
1081,18,90,4607.4,23.24,561.22,62.0915032679739,63.5947712418301,57.2549019607843
1081,18,95,8065.15,25.16,1177.61,95.2287581699346,78.4313725490196,92.483660130719
1081,18,90,2483.12,16.16,226.12,30.7843137254902,17.9084967320261,25.0326797385621
1081,18,95,8388.91,26.22,1053.33,96.4705882352941,85.8169934640523,88.562091503268
1081,18,90,2002.16,15.58,139.6,24.9673202614379,17.5816993464052,17.7777777777778
1081,18,90,2609.72,18.02,252.66,32.5490196078431,20,27.1895424836601
1081,18,120,5566.31,23.76,611.31,75.8823529411765,67.3202614379085,61.1764705882353
1081,18,90,4504.24,21.75,481.17,59.9346405228758,48.4967320261438,49.8039215686275
1081,18,120,3203.96,20.39,402.97,40.6535947712418,32.875816993464,40.3921568627451
1081,18,100,8361.25,26.06,1079.17,96.3398692810458,84.5098039215686,89.3464052287582
1081,18,90,3707.97,21.7,412.55,46.5359477124183,48.0392156862745,41.6339869281046
1081,18,90,2033.88,15.05,191.05,25.6862745098039,17.0588235294118,22.0261437908497
1081,18,90,7470.52,26.8,1045.55,92.5490196078431,89.281045751634,88.3006535947712
1081,18,85,460.87,9.04,25.64,10.1307189542484,9.41176470588235,4.57516339869281
1081,18,90,7754.08,24.54,1023.42,93.7254901960784,72.875816993464,87.1241830065359
1081,18,120,2673.96,40.9,444.83,33.5294117647059,98.2352941176471,45.0980392156863
1081,18,90,3913.49,20.29,499.2,50.3921568627451,31.7647058823529,51.3725490196078
1081,18,120,6336.99,23.58,1057.62,84.3137254901961,66.3398692810458,88.6274509803922
1081,18,120,5595.75,24.73,906.8,76.3398692810458,74.640522875817,81.6339869281046
1081,18,90,2474,18.5,267.02,30.5228758169935,21.1111111111111,28.6274509803922
1081,18,120,5193.56,23.06,586.4,70.5228758169935,62.2875816993464,58.9542483660131
1081,18,120,2505.97,21.12,218.96,31.2418300653595,41.2418300653595,24.1830065359477
1081,18,120,368.66,7.24,24.94,4.83660130718954,4.57516339869281,4.05228758169935
1081,18,90,6250.11,26.71,882.39,83.3333333333333,88.9542483660131,80.1960784313726
1081,18,90,3471.5,24.62,673.91,43.3986928104575,73.5294117647059,66.1437908496732
1081,18,90,8117.72,27.39,1043.57,95.359477124183,92.0261437908497,88.1699346405229
1081,18,90,1644.08,12.65,178.26,21.8954248366013,14.0522875816993,20.5882352941176
1081,18,90,5759.74,26.97,718.86,78.4313725490196,90.2614379084967,70.1960784313725
1081,18,120,3263.87,22.4,457.96,41.5686274509804,55.1633986928105,47.1895424836601
1081,18,90,7355.47,28.05,896.27,91.8954248366013,94.1176470588235,81.1764705882353
