"athlete_number","athlete_relative_age","w_total_distance","w_session_load","w_max_speed_kph","w_sprint_events","total_dist_perc_rank","max_speed_perc_rank","session_load_perc_rank","sprint_events_perc_rank","num_sessions"
20602,21,3490.86443633952,602.507380636605,20.6490053050398,0.362732095490716,50,50,80,20,11
21777,19,5395.85952380952,787.554353741497,22.2218367346939,1.43877551020408,45,40,75,45,21
21859,20,3395.48932914046,472.509832285115,22.2660220125786,1.66404612159329,22.5806451612903,58.0645161290323,35.4838709677419,74.1935483870968,32
25203,19,2842.96126760563,313.447957746479,17.1188732394366,0.253521126760563,10,15,10,15,21
27841,19,147.06,8.78,6.65,0,0,0,0,0,21
28009,20,3573.79731036078,487.466177150786,21.1728168362627,0.893848288621647,35.4838709677419,41.9354838709677,41.9354838709677,48.3870967741936,32
28299,18,4782.87550580431,768.031492537313,21.7346600331675,0.951907131011609,82.7586206896552,68.9655172413793,89.6551724137931,51.7241379310345,30
28747,20,4783.95975730152,740.256240230358,23.2107897984369,2.62772521596051,80.6451612903226,90.3225806451613,93.5483870967742,90.3225806451613,32
28774,19,5694.92699404762,710.961636904762,22.0502083333333,1.45238095238095,80,35,45,50,21
28884,18,2186.52081163859,268.459387442573,15.2299387442573,0.477794793261868,6.89655172413793,6.89655172413793,10.3448275862069,13.7931034482759,30
32263,18,3476.47458885942,431.068408488064,19.3861803713528,0.541114058355438,37.9310344827586,31.0344827586207,24.1379310344828,17.2413793103448,30
36400,19,4922.81726190476,652.227053571429,22.5361607142857,2.62797619047619,25,60,35,100,21
36754,18,730.126076794658,70.1227045075125,9.69353923205342,0,0,0,0,0,30
36837,21,2621.26402150538,306.556811827957,16.5853172043011,0.0446236559139785,0,0,0,0,11
37322,20,4928.68171944582,689.325611083622,24.3773305294409,5.21796140524493,87.0967741935484,96.7741935483871,77.4193548387097,100,32
38727,20,5721.16175971538,765.925837438424,22.7665325670498,2.20142309797482,96.7741935483871,77.4193548387097,96.7741935483871,87.0967741935484,32
40553,21,3404.62864985767,443.246933712891,20.040951606344,0.960959739731598,40,30,50,50,11
41100,19,5756.56363333333,806.553733333333,23.3407333333333,2.62666666666667,85,90,85,95,21
41837,20,2882.84910915935,306.38599749059,19.9797616060226,0.947302383939774,3.2258064516129,16.1290322580645,3.2258064516129,51.6129032258064,32
43549,19,5572.969,745.382633333333,22.3812333333333,1.43333333333333,55,55,65,40,21
44800,19,5109.16443396226,623.116100628931,19.6647798742138,0.283018867924528,30,25,30,20,21
44844,20,4355.45464968153,677.577587579618,23.5631369426752,1.34952229299363,67.741935483871,93.5483870967742,74.1935483870968,61.2903225806452,32
44846,20,3422.32317460318,454.487107583774,21.3339564961787,0.778953556731334,25.8064516129032,48.3870967741936,29.0322580645161,38.7096774193548,32
45048,19,5584.33613095238,787.686279761905,22.693869047619,1.68154761904762,60,70,80,55,21
45111,20,4559.91825040878,519.186458771315,21.2114038775987,0.872926886241532,70.9677419354839,45.1612903225806,51.6129032258064,45.1612903225806,32
45655,18,2258.54797905759,204.600240837696,16.7038010471204,0.289005235602094,10.3448275862069,10.3448275862069,6.89655172413793,10.3448275862069,30
45907,20,3738.59362152625,546.038211292457,22.5223180414645,1.83458314953683,48.3870967741936,70.9677419354839,54.8387096774194,77.4193548387097,32
47019,20,3094.04273903856,390.789743792921,20.0924775488642,0.286318013734812,9.67741935483871,19.3548387096774,12.9032258064516,6.45161290322581,32
47454,19,4303.85081560284,467.481134751773,19.3634397163121,0.879432624113475,20,20,20,30,21
48715,20,3317.16592017738,380.122492239468,19.1722793791574,0.330376940133038,19.3548387096774,9.67741935483871,9.67741935483871,9.67741935483871,32
49054,21,4016.03332354381,594.591282427802,23.133127753304,1.62236906510034,70,70,70,70,11
49372,18,4887.9384006734,805.750841750842,21.5523232323232,1.96632996632997,89.6551724137931,65.5172413793103,93.1034482758621,79.3103448275862,30
50466,21,2624.36219481736,368.811401810802,20.4721386200437,1.4111770215423,10,40,20,60,11
50638,18,4107.94514775977,607.624480457579,21.3983984747378,1.38894184938036,62.0689655172414,62.0689655172414,72.4137931034483,65.5172413793103,30
50852,19,5263.02622023809,670.813125,20.9333630952381,0.732142857142857,35,30,40,25,21
50870,18,3742.10381491974,535.333597733711,21.1846364494806,0.962228517469311,51.7241379310345,55.1724137931034,44.8275862068966,55.1724137931034,30
53309,21,3310.72729100946,329.544992113565,18.7577050473186,0.183359621451104,30,10,10,10,11
54881,20,5274.52467122118,722.221972672929,21.3863727583262,0.817036720751494,93.5483870967742,54.8387096774194,87.0967741935484,41.9354838709677,32
55054,20,4814.68146435453,705.104065510597,21.3565655105973,0.598506743737958,83.8709677419355,51.6129032258064,83.8709677419355,32.258064516129,32
55193,18,4533.18112014453,587.462149954833,19.6185365853659,0.62059620596206,72.4137931034483,34.4827586206897,58.6206896551724,27.5862068965517,30
56198,18,4797.52228333333,671.646191666667,22.1647083333333,1.76666666666667,86.2068965517241,79.3103448275862,82.7586206896552,72.4137931034483,30
56303,18,3415.37130634775,451.358877644894,19.2498436062557,0.574057037718491,31.0344827586207,27.5862068965517,31.0344827586207,20.6896551724138,30
57447,18,5092.76848176421,753.611747243427,21.9497709923664,1.11111111111111,96.551724137931,75.8620689655172,86.2068965517241,58.6206896551724,30
61902,18,3428.07785247432,526.504192343604,22.2479365079365,2.57329598506069,34.4827586206897,82.7586206896552,41.3793103448276,93.1034482758621,30
62096,19,3017.69339449541,374.870733944954,16.5376146788991,0.137614678899083,15,10,15,10,21
65648,20,3642.21,488.15,15.43,0,41.9354838709677,0,45.1612903225806,0,32
69466,21,4018.39814147742,698.045899243017,25.3668258940224,4.99269120334116,80,90,90,80,11
71346,19,5587.28893081761,713.315251572327,22.3054088050314,1.22327044025157,65,50,50,35,21
72086,20,4242.06774821173,597.780446351931,22.4484034334764,1.11816881258941,64.5161290322581,67.741935483871,67.741935483871,58.0645161290323,32
72116,18,4729.96248468941,629.393797025372,22.6742432195975,2.08136482939633,79.3103448275862,89.6551724137931,75.8620689655172,86.2068965517241,30
72139,18,4062.06762273902,579.963453919035,22.4568130921619,2.53574504737295,58.6206896551724,86.2068965517241,55.1724137931034,89.6551724137931,30
73322,19,5971.81893333333,845.5657,22.8717666666667,1.91333333333333,100,80,95,60,21
75462,19,5902.71113333333,818.8022,22.6552666666667,1.95,95,65,90,65,21
76391,18,2885.37227463312,368.543385744235,17.5835639412998,0.60272536687631,13.7931034482759,13.7931034482759,17.2413793103448,24.1379310344828,30
76958,20,4183.0684946714,565.151119005329,22.6678463587922,1.5,61.2903225806452,74.1935483870968,61.2903225806452,67.741935483871,32
77373,18,3730.68203921569,592.584656862745,20.0514411764706,1.41078431372549,48.2758620689655,48.2758620689655,65.5172413793103,68.9655172413793,30
77669,20,5224.42279013962,735.881961169284,23.1503883071553,1.53315881326353,90.3225806451613,87.0967741935484,90.3225806451613,70.9677419354839,32
78554,18,4497.95676923077,590.847222222222,21.203905982906,0.88974358974359,68.9655172413793,58.6206896551724,62.0689655172414,48.2758620689655,30
79189,19,1355.91396226415,153.96641509434,9.49245283018868,0,5,5,5,0,21
79413,20,3866.2618230563,691.561809651475,22.4360321715818,1.43163538873995,51.6129032258064,64.5161290322581,80.6451612903226,64.5161290322581,32
79421,20,3609.07489309211,453.28671875,20.2068667763158,0.575657894736842,38.7096774193548,25.8064516129032,25.8064516129032,29.0322580645161,32
80052,20,3261.20080613736,404.300703848027,20.7253482708232,0.603994154895275,16.1290322580645,32.258064516129,19.3548387096774,35.4838709677419,32
82566,20,3075.85129150253,393.535970737198,18.7459904333146,0.498311761395611,6.45161290322581,6.45161290322581,16.1290322580645,22.5806451612903,32
84651,20,4598.18102930492,563.43134657302,23.0277694356987,2.7696778881085,74.1935483870968,83.8709677419355,58.0645161290323,96.7741935483871,32
84978,19,5625.18082018927,728.435804416404,22.2690220820189,2.42902208201893,75,45,55,85,21
86632,20,3121.79969939037,349.11301030061,20.15278536893,0.46583981500946,12.9032258064516,22.5806451612903,6.45161290322581,19.3548387096774,32
87353,19,5594.39966666667,850.8361,23.1497,1.98666666666667,70,85,100,70,21
89246,21,4946.18803051318,815.012905686546,24.7763361072584,6.71081830790569,100,80,100,100,11
89568,18,3547.55018467221,521.656962142198,19.9286518928901,0.752539242843952,41.3793103448276,41.3793103448276,37.9310344827586,37.9310344827586,30
90013,18,3906.19250218723,541.628608923884,21.81656167979,1.13910761154856,55.1724137931034,72.4137931034483,48.2758620689655,62.0689655172414,30
90639,18,4579.67229468599,595.522206119163,23.6806441223832,1.78180354267311,75.8620689655172,100,68.9655172413793,75.8620689655172,30
90669,18,5107.37012851406,824.572626506024,23.5115100401606,3.69718875502008,100,93.1034482758621,100,100,30
94171,21,3803.61549377353,574.031859252824,22.586495800753,0.893426006371271,60,60,60,40,11
94221,19,5346.84714285714,774.849017857143,22.7870238095238,2.17261904761905,40,75,70,75,21
94865,20,7737.39089552239,956.073830845771,24.5225870646766,2.7363184079602,100,100,100,93.5483870967742,32
