"athlete_number","athlete_relative_age","active_minutes","total_distance_m","max_speed_kph","session_load","sprint_events","total_dist_perc_rank","max_speed_perc_rank","session_load_perc_rank","session_id"
1018,18,90,3880.64,24.26,458.53,2,49.8300475866757,72.9435757987763,48.130523453433,1
1018,18,120,2742.19,26.04,357.28,1,35.8939496940857,87.6954452753229,37.5934738273284,2
1018,18,90,5627.94,22.02,1039.85,0,77.0904146838885,53.8409245411285,87.899388171312,3
1018,18,90,4359.94,21.78,561.44,0,57.8518014955812,50.8497620666214,57.7158395649218,4
1018,18,90,484.12,4.78,15.35,0,11.8966689326988,0.135961930659415,1.56356220258328,5
1018,18,120,1319.92,19.37,143.63,0,20.2583276682529,25.9687287559483,18.6947654656696,6
1018,18,120,377.49,8.09,38.1,0,5.43847722637661,7.47790618626784,10.6730115567641,7
1018,18,120,5641.85,19.92,762.98,0,77.2943575798776,29.9116247450714,73.1475186947655,8
1018,18,120,2835.94,18.8,389.32,0,36.981645139361,23.0455472467709,40.4486743711761,9
1018,18,120,4559.67,21.5,629.93,0,61.5907545887152,47.450713800136,62.9503738953093,10
1018,18,120,436.85,8.34,45.68,0,8.42963970088375,8.15771583956492,13.256288239293,11
1018,18,120,5759.73,25.41,860.16,2,78.5180149558124,83.8205302515296,78.9938817131203,12
1018,18,120,5661.5,24.22,893.52,7,77.430319510537,72.5356900067981,80.8973487423521,13
1018,18,90,1907.2,19.72,188.24,0,24.9490142760027,28.3480625424881,22.6376614547927,14
1018,18,120,2625.19,17.31,311.75,0,34.0584636301836,19.5785180149558,33.718558803535,15
1018,18,90,1592.27,23.05,177.96,1,22.569680489463,64.5819170632223,21.2780421481985,16
1018,18,90,2873.59,24.48,479.39,1,37.1855880353501,74.9150237933379,49.9660095173351,17
1018,18,90,1579.99,22.88,280.12,1,22.2977566281441,62.8144119646499,30.931339225017,18
1018,18,120,2772.64,18.58,291.84,0,36.1658735554045,22.3657375934738,31.8150917743032,19
1018,18,120,8274.06,24.82,1324.26,3,95.7851801495581,78.5180149558124,94.7654656696125,20
1018,18,120,5324.1,25.61,770.28,3,72.8755948334466,85.3840924541128,73.5554044867437,21
1018,18,120,5636.81,22.4,758.99,0,77.2263766145479,57.3759347382733,73.011556764106,22
1018,18,90,846.76,10.02,68.07,0,16.5873555404487,11.4208021753909,15.6356220258328,23
1018,18,90,2120.28,23.02,389.05,1,27.5322909585316,64.1060503059143,40.3806934058464,24
1018,18,120,4335.08,24.76,560.58,2,57.3759347382733,78.0421481985044,57.5118966689327,25
1018,18,120,5087.93,20.81,674.2,0,69.8844323589395,38.8851121685928,66.2134602311353,26
1018,18,90,3914.63,20.59,551.48,0,50.8497620666214,36.2338545207342,56.968048946295,27
1018,18,90,2424.54,21.8,398.54,0,31.3392250169952,51.1896668932699,41.6043507817811,28
1018,18,90,4297.37,21.35,593.28,0,56.3562202583277,46.2950373895309,59.8232494901428,29
1018,18,90,4065.38,21.53,517.85,0,53.025152957172,47.7906186267845,53.7049626104691,30
1018,18,85,3485.78,19.98,439.02,0,43.711760707002,30.1835486063902,45.8871515975527,31
1018,18,90,4475.29,24.62,590.1,3,60.231135282121,76.4785859959212,59.5513256288239,32
1018,18,120,431.93,12.34,27.37,0,7.9537729435758,14.1400407885792,5.23453433038749,33
1018,18,120,473.75,7.5,34.37,0,11.2848402447315,5.3025152957172,8.22569680489463,34
1018,18,120,651.24,10.67,33.44,0,15.4316791298436,12.5084976206662,7.81781101291638,35
1018,18,120,426.95,6.58,21.17,0,7.47790618626784,2.58327668252889,2.71923861318831,36
1018,18,120,543.48,8.06,32.3,0,13.1883072739633,7.27396329027872,7.0700203942896,37
1018,18,90,470.59,7.82,29.92,0,11.0129163834126,6.39021074099252,5.91434398368457,38
1018,18,90,3685.91,23.46,565.86,1,46.2270564242012,68.0489462950374,57.9877634262407,39
1018,18,90,2965.78,20.55,404.39,0,38.2732834806254,35.9619306594154,42.1481985044188,40
1018,18,120,452.21,8.42,35.26,0,9.78925900747791,8.42963970088375,8.76954452753229,41
1018,18,120,519.65,7.6,19.41,0,12.6444595513256,5.64242012236574,2.37933378653977,42
1018,18,90,3603,20.9,467.57,0,45.0713800135962,40.5846363018355,49.2182188987084,43
1018,18,90,1800.37,19.54,224.4,0,24.2692046227056,27.1244051665534,25.8327668252889,44
1018,18,90,4842.84,21.15,730.12,0,66.3494221617947,43.6437797416723,70.700203942896,45
1081,18,90,7606.28,23.98,985.12,2,92.9979605710401,70.9721278042148,84.9762066621346,1
1081,18,90,7031.86,25.34,999.52,7,90.2107409925221,83.1407205982325,85.8599592114208,2
1081,18,120,1904.57,17.75,336.5,0,24.881033310673,20.2583276682529,35.7579877634262,3
1081,18,90,1237.55,15.19,201.64,0,19.4425560842964,17.8789938817131,23.6573759347383,4
1081,18,120,5269.62,28.19,1079.28,10,72.1278042148198,98.368456832087,89.2590074779062,5
1081,18,120,5535.15,26.86,1220.33,3,75.7307953772944,93.2698844323589,93.0659415363698,6
1081,18,120,2018.08,23.18,398.02,1,26.3766145479266,65.6016315431679,41.5363698164514,7
1081,18,120,382.69,10.19,46.17,0,5.57443915703603,11.62474507138,13.4602311352821,8
1081,18,120,226.68,7.02,27.43,0,1.7675050985724,4.07885791978246,5.3025152957172,9
1081,18,120,2051.41,19.65,153.93,0,26.9204622705642,28.0081577158396,19.3745751189667,10
1081,18,120,4508.86,22.97,403.21,2,60.7749830047587,63.4262406526173,41.9442556084296,11
1081,18,120,4060.59,22.69,391.09,1,52.8891910265126,61.3188307273963,40.6526172671652,12
1081,18,90,3344.53,19.52,328.93,0,42.3521414004079,27.0564242012237,35.0781781101292,13
1081,18,150,7064.67,24.46,871.95,4,90.5506458191706,74.643099932019,79.6057104010877,14
1081,18,120,5169.91,19.21,586.14,0,70.9041468388851,24.9490142760027,59.2114208021754,15
1081,18,120,543.56,10.22,31.11,0,13.256288239293,11.8286879673691,6.52617267165194,16
1081,18,90,4607.4,23.24,561.22,0,62.8823929299796,66.1454792658056,57.6478585995921,17
1081,18,95,8065.15,25.16,1177.61,5,95.0373895309313,81.5771583956492,92.2501699524133,18
1081,18,90,2483.12,16.16,226.12,0,31.9510537049626,18.6267845003399,26.036709721278,19
1081,18,95,8388.91,26.22,1053.33,5,96.3290278721958,89.2590074779062,88.37525492862,20
1081,18,90,2002.16,15.58,139.6,0,25.9687287559483,18.2868796736914,18.4908225696805,21
1081,18,90,2609.72,18.02,252.66,0,33.7865397688647,20.8021753908906,28.2800815771584,22
1081,18,120,5566.31,23.76,611.31,1,76.1386811692726,70.0203942895989,61.5227736233855,23
1081,18,90,4504.24,21.75,481.17,0,60.6390210740993,50.4418762746431,50.1019714479946,24
1081,18,120,3203.96,20.39,402.97,0,40.6526172671652,34.194425560843,41.8762746430999,25
1081,18,100,8361.25,26.06,1079.17,7,96.1930659415364,87.899388171312,89.1910265125765,26
1081,18,90,3707.97,21.7,412.55,0,46.7029231815092,49.9660095173351,43.1679129843644,27
1081,18,90,2033.88,15.05,191.05,0,26.7165193745751,17.7430319510537,22.9095853161115,28
1081,18,90,7470.52,26.8,1045.55,9,92.5900747790619,92.8619986403807,88.1713120326309,29
1081,18,85,460.87,9.04,25.64,0,10.5370496261047,9.78925900747791,4.75866757307954,30
1081,18,90,7754.08,24.54,1023.42,4,93.6097892590075,75.7987763426241,87.0156356220258,31
1081,18,90,3913.49,20.29,499.2,0,50.7138001359619,33.0387491502379,51.7335146159076,32
1081,18,120,6336.99,23.58,1057.62,0,84.1604350781781,69.0006798096533,88.4432358939497,33
1081,18,120,5595.75,24.73,906.8,5,76.6145479265806,77.6342624065262,81.3732154996601,34
1081,18,90,2474,18.5,267.02,0,31.6791298436438,21.9578518014956,29.775662814412,35
1081,18,120,5193.56,23.06,586.4,1,71.1760707002039,64.7858599592114,59.2794017675051,36
1081,18,120,2505.97,21.12,218.96,0,32.4269204622706,42.8959891230455,25.1529571719918,37
1081,18,120,368.66,7.24,24.94,0,5.03059143439837,4.75866757307954,4.21481985044188,38
1081,18,90,6250.11,26.71,882.39,7,83.1407205982325,92.5220938137322,80.2855200543848,39
1081,18,90,3471.5,24.62,673.91,1,43.5078178110129,76.4785859959212,66.1454792658056,40
1081,18,90,8117.72,27.39,1043.57,12,95.1733514615908,95.7171991842284,88.0353501019714,41
1081,18,90,1644.08,12.65,178.26,0,22.7736233854521,14.6159075458872,21.4140040788579,42
1081,18,90,5759.74,26.97,718.86,5,78.5859959211421,93.8817131203263,70.224337185588,43
1081,18,120,3263.87,22.4,457.96,0,41.6043507817811,57.3759347382733,48.0625424881033,44
1081,18,90,7355.47,28.05,896.27,8,91.9782460910945,97.8925900747791,81.0333106730116,45
1081,18,120,2033.39,19.83,181.9,0,26.6485384092454,29.3677770224337,21.7539089055065,46
1081,18,120,6834.16,24.26,743.23,3,88.5112168592794,72.9435757987763,71.5159755268525,47
1081,18,120,6159.86,21.38,1103.83,0,82.1210061182869,46.5669612508498,90.2787219578518,48
1081,18,120,476.8,10.53,30.91,0,11.4208021753909,12.3045547246771,6.25424881033311,49
1081,18,90,7385.87,25.7,1002.14,4,92.2501699524133,85.8599592114208,85.9959211420802,50
2227,20,120,6491.61,22.45,741.44,3,88.110599078341,57.4193548387097,79.5391705069124,1
2227,20,105,5359.72,19.52,766.29,0,79.7235023041475,22.4884792626728,81.1059907834101,2
2227,20,110,2756.57,22.37,333.37,0,22.2119815668203,56.1290322580645,23.963133640553,3
2227,20,90,100.87,6.51,6.47,0,0.0921658986175115,0.737327188940092,0.276497695852535,4
2227,20,110,723.16,17.27,76.25,0,4.33179723502304,9.86175115207373,4.70046082949309,5
2227,20,90,3668.85,22.1,475.91,0,47.926267281106,52.1658986175115,51.4285714285714,6
2227,20,100,5422.53,22.8,669.02,1,80.8294930875576,61.8433179723502,73.8248847926267,7
2227,20,116,5364.42,24.07,798.08,1,79.9078341013825,77.4193548387097,82.8571428571429,8
2227,20,99,3911.98,21.83,394.24,0,54.1013824884793,48.0184331797235,35.668202764977,9
2227,20,91,2012.69,23.44,400.37,1,13.6405529953917,70.3225806451613,36.8663594470046,10
2227,20,80,3484.37,20.38,420.48,0,40.8294930875576,30.0460829493088,40.4608294930876,11
2227,20,90,824.75,19.16,116.17,0,5.71428571428571,19.0783410138249,7.00460829493088,12
2227,20,123,8095.3,20.82,1255.1,0,96.4976958525346,34.4700460829493,96.405529953917,13
2227,20,105,3482.31,22.31,447.83,1,40.6451612903226,55.2995391705069,45.9907834101382,14
2227,20,75,801.68,13.02,80.09,0,5.34562211981567,4.70046082949309,4.88479262672811,15
2227,20,78,4588.82,23.32,726.06,2,70.4147465437788,68.9400921658986,78.2488479262673,16
2227,20,100,2001.41,18.86,296.28,0,13.5483870967742,16.6820276497696,19.4470046082949,17
2227,20,110,4832.57,25.4,604.28,3,74.6543778801843,88.7557603686636,67.926267281106,18
2227,20,105,3272.9,21.29,409.85,0,34.7465437788018,40.6451612903226,38.4331797235023,19
2227,20,120,6774.86,20.83,968.07,0,90.3225806451613,34.8387096774194,90.2304147465438,20
2227,20,90,2763.17,21.83,448.06,0,22.4884792626728,48.0184331797235,46.1751152073733,21
2227,20,104,2318.14,23.84,355.05,1,16.1290322580645,75.2995391705069,28.3870967741935,22
2227,20,100,3852.53,21.28,441.55,0,52.9953917050691,40.4608294930876,44.7004608294931,23
2227,20,77,3471.07,22.7,378.83,2,40.184331797235,60.4608294930876,32.8110599078341,24
2227,20,100,2545.63,21.75,377.36,0,18.8018433179723,47.0967741935484,32.1658986175115,25
2227,20,110,5475.45,22.49,712.83,0,81.3824884792627,57.7880184331797,77.3271889400922,26
2227,20,110,2954.99,22.37,355.91,0,27.3732718894009,56.1290322580645,28.5714285714286,27
2227,20,90,3375.33,21.64,417,0,37.3271889400922,45.4377880184332,39.63133640553,28
2227,20,90,179.97,7.48,9.94,0,1.29032258064516,1.29032258064516,1.29032258064516,29
2227,20,90,1880.27,22.07,257.64,1,12.6267281105991,51.5207373271889,15.1152073732719,30
2227,20,110,4495.18,24.34,628.2,1,68.294930875576,80,70.1382488479263,31
2227,20,90,221.44,13.08,25.16,0,2.48847926267281,4.88479262672811,2.76497695852535,32
2227,20,70,4141.19,24.53,501.91,2,60,81.1981566820276,56.036866359447,33
2227,20,90,2030.76,20.61,249.37,0,13.8248847926267,32.073732718894,14.7465437788018,34
2227,20,90,3766.15,20.89,449.53,0,50.6912442396313,35.3917050691244,46.5437788018433,35
2227,20,90,4191.37,21,629.99,0,60.9216589861751,37.3271889400922,70.4147465437788,36
2227,20,90,4756.44,25.08,670.2,1,73.5483870967742,86.3594470046083,74.0092165898618,37
2227,20,90,1620.78,17.77,229.43,0,10.1382488479263,11.6129032258065,12.4423963133641,38
2227,20,90,4319.95,18.91,629.27,0,64.6082949308756,17.2350230414747,70.2304147465438,39
2227,20,90,3292.26,19.94,391.25,0,35.5760368663594,25.8064516129032,35.3917050691244,40
2227,20,90,2739.51,21.51,418.34,0,21.9354838709677,43.5023041474654,40,41
2227,20,90,4240.76,20.62,551.83,0,62.3041474654378,32.258064516129,62.5806451612903,42
2227,20,90,4069.35,23.03,511.13,1,58.5253456221198,65.2534562211982,57.4193548387097,43
2227,20,90,4201.53,21.39,561.16,0,61.4746543778802,41.6589861751152,63.5023041474654,44
2227,20,90,1270.23,19.13,207.87,0,8.38709677419355,18.5253456221198,11.2442396313364,45
2227,20,76,2537.47,20.55,261.9,0,18.6175115207373,31.3364055299539,15.9447004608295,46
2227,20,90,4249.06,18.7,559.03,0,62.5806451612903,15.852534562212,63.3179723502304,47
2227,20,90,2783.73,19.15,309.84,0,23.1336405529954,18.8018433179723,21.1059907834101,48
5841,20,110,3676.5,24.66,436.28,4,48.2027649769585,83.0414746543779,43.778801843318,1
5841,20,105,2667.7,21.88,339.77,0,20.8294930875576,48.9400921658986,25.5299539170507,2
5841,20,120,4834.54,23.68,674.23,1,74.7465437788019,73.1797235023042,74.1935483870968,3
5841,20,90,2879.11,24.53,448.83,1,25.2534562211982,81.1981566820276,46.4516129032258,4
5841,20,104,1724.49,24.05,281.46,1,10.6912442396313,77.1428571428572,18.1566820276498,5
5841,20,90,4279.48,21.15,705.78,0,63.4101382488479,38.9861751152074,76.4976958525346,6
5841,20,110,2976.68,21.94,425.24,0,28.2027649769585,49.5852534562212,40.9216589861751,7
5841,20,105,3768.57,22.39,564.79,0,50.8755760368664,56.6820276497696,63.8709677419355,8
5841,20,100,3475.25,21.8,440.45,0,40.36866359447,47.6497695852535,44.5161290322581,9
5841,20,70,4524.78,22.02,635.28,1,68.6635944700461,50.8755760368664,71.1520737327189,10
5841,20,77,3151.46,24.65,377.59,1,31.7972350230415,82.7649769585254,32.258064516129,11
5841,20,100,2492.87,23.04,376.27,1,17.9723502304147,65.4377880184332,31.9815668202765,12
5841,20,105,7376.96,20.91,1213.34,0,93.9170506912442,35.668202764977,95.7603686635945,13
5841,20,110,5268.27,22.82,814.41,2,79.1705069124424,62.3041474654378,83.778801843318,14
5841,20,100,7578.38,22.27,1130.52,0,94.2857142857143,54.7465437788019,94.1013824884793,15
5841,20,110,5256.2,22.81,795.7,1,79.0783410138249,62.0276497695853,82.4884792626728,16
5841,20,90,3556.07,21.84,513.6,0,42.8571428571429,48.2027649769585,57.8801843317972,17
5841,20,92,2117.2,21.19,337.95,0,14.4700460829493,39.2626728110599,25.0691244239631,18
5841,20,90,2967.13,22.11,459.28,0,27.6497695852535,52.5345622119816,48.5714285714286,19
5841,20,110,4341.43,20.67,607.19,0,65.3456221198157,32.9953917050691,68.110599078341,20
5841,20,90,2929.68,21.29,488.79,0,26.9124423963134,40.6451612903226,53.7327188940092,21
5841,20,70,3616.1,23.36,490.38,0,45.6221198156682,69.2165898617512,54.0092165898618,22
5841,20,90,669.68,17.48,85.57,0,3.963133640553,10.5990783410138,5.80645161290323,23
5841,20,90,3532.53,21.65,468.62,0,42.3963133640553,45.6221198156682,50.5990783410138,24
5841,20,90,5472.01,20.88,808.34,0,81.2903225806452,35.2995391705069,83.5944700460829,25
5841,20,90,4545.44,21.48,702.67,0,69.3087557603687,42.6728110599078,76.1290322580645,26
5841,20,90,4659.41,22.6,706.41,1,72.1658986175115,58.9861751152074,76.5898617511521,27
5841,20,90,1320.72,17.26,187.78,0,8.84792626728111,9.76958525345622,9.86175115207373,28
5841,20,90,4394.41,21.14,612.62,0,66.4516129032258,38.8018433179723,68.6635944700461,29
5841,20,90,2794.52,19.66,324.8,0,23.594470046083,23.6866359447005,23.1336405529954,30
5841,20,90,3542.76,20.78,395.04,0,42.5806451612903,34.1013824884793,36.1290322580645,31
5841,20,90,2902.05,20.93,374.64,0,25.8986175115207,35.852534562212,31.6129032258064,32
5841,20,74,2853.87,14.58,294,0,24.6082949308756,6.82027649769585,19.2626728110599,33
5841,20,101,4811.06,18.13,613.49,0,74.4700460829493,12.7188940092166,68.8479262672811,34
5841,20,80,4714.85,22.62,537.22,1,72.6267281105991,59.2626728110599,60.8294930875576,35
5841,20,70,2567.57,21.94,278.56,0,19.2626728110599,49.5852534562212,17.5115207373272,36
5841,20,90,3273.43,20.87,388.28,0,34.8387096774194,35.0230414746544,34.7465437788018,37
5841,20,90,5641.61,19.12,829.44,0,82.4884792626728,18.4331797235023,84.8847926267281,38
5841,20,76,2977.27,22.27,401.84,0,28.294930875576,54.7465437788019,37.1428571428571,39
5841,20,73,2442.21,17.54,279.69,0,17.7880184331797,10.7834101382488,17.6958525345622,40
5841,20,75,798.15,11.95,80.88,0,5.25345622119816,3.04147465437788,4.97695852534562,41
5841,20,90,614.84,14.05,64.44,0,3.77880184331797,6.63594470046083,3.68663594470046,42
5841,20,105,3124.67,21.41,406.59,0,31.0599078341014,41.7511520737327,37.8801843317972,43
5841,20,90,4471.45,22.7,657.41,2,67.6497695852535,60.4608294930876,72.7188940092166,44
5841,20,78,5488.59,20.96,787.11,0,81.5668202764977,36.221198156682,81.8433179723502,45
5841,20,123,6404.3,24.79,903.22,1,87.6497695852535,84.0552995391705,88.7557603686636,46
5841,20,120,6153.29,23.1,753.28,5,85.7142857142857,66.2672811059908,80.2764976958525,47
5841,20,80,3351.67,19.95,413.32,0,36.7741935483871,25.9907834101382,38.9861751152074,48
5841,20,91,2988.88,20.24,599.27,0,28.5714285714286,28.294930875576,67.5576036866359,49
5841,20,99,3431.23,19.48,353.31,0,38.7096774193548,21.8433179723502,27.926267281106,50
5841,20,116,1880.21,20.4,241.91,0,12.5345622119816,30.2304147465438,13.3640552995392,51
5841,20,100,5242.81,22.79,660.11,2,78.8018433179724,61.5668202764977,73.1797235023042,52
5841,20,90,3561.12,22.93,507.1,1,43.4101382488479,63.778801843318,56.7741935483871,53
5841,20,110,1216.76,17.11,118.59,0,8.0184331797235,9.49308755760369,7.09677419354839,54
5841,20,100,2238.22,18.53,285.11,0,15.2995391705069,15.2073732718894,18.4331797235023,55
6200,21,75,4615.09,26.46,433.76,6,74.7747747747748,89.1891891891892,41.7417417417417,1
6613,20,90,2391.25,21.44,298.39,0,17.2350230414747,42.1198156682028,19.63133640553,1
6613,20,100,3579.46,18.34,403.01,0,44.2396313364055,13.8248847926267,37.3271889400922,2
6613,20,104,2904.64,24.51,413.53,2,25.9907834101382,81.0138248847926,39.0783410138249,3
6613,20,120,5545.11,21.87,687.77,0,81.8433179723502,48.6635944700461,75.0230414746544,4
6613,20,105,2927.51,24.09,356.96,1,26.8202764976959,77.7880184331797,28.9400921658986,5
6613,20,110,3842.2,25.17,458.31,3,52.7188940092166,87.2811059907834,48.294930875576,6
6613,20,80,3241.71,19.19,367.18,0,33.6405529953917,19.5391705069124,30.6912442396313,7
6613,20,90,2643.22,16.09,260.57,0,20.2764976958525,8.20276497695852,15.668202764977,8
6613,20,90,4487.84,18.93,572.63,0,68.2027649769585,17.4193548387097,64.5161290322581,9
