"athlete_number","athlete_relative_age","w_total_distance","w_session_load","w_max_speed_kph","total_dist_perc_rank","max_speed_perc_rank","session_load_perc_rank","num_sessions"
1018,18,3038.54830225711,417.214327772326,19.7737978410206,17.2413793103448,27.5862068965517,20.6896551724138,30
1081,18,4215.26591280654,556.681326067212,21.6092279745686,65.5172413793103,51.7241379310345,51.7241379310345,30
2227,20,3470.31891579407,463.201047120419,20.6325938045375,29.0322580645161,29.0322580645161,32.258064516129,32
5841,20,3683.54257109692,512.200576513832,21.1292184174889,45.1612903225806,38.7096774193548,48.3870967741936,32
6200,21,4615.09,433.76,26.46,90,100,40,11
6613,20,3531.90768321513,448.136120304702,19.9722616233255,32.258064516129,12.9032258064516,22.5806451612903,32
7181,20,3940.71749335695,565.84923826395,21.0804384410983,58.0645161290323,35.4838709677419,64.5161290322581,32
8588,18,3345.72607865169,442.347707865169,19.9798876404494,27.5862068965517,31.0344827586207,24.1379310344828,30
8993,21,3044.94463172043,418.65611827957,19.9796747311828,20,20,30,11
9385,18,4961.9743877551,811.175807823129,24.7486139455782,93.1034482758621,100,96.551724137931,30
10135,20,4668.08648367061,624.278553396113,22.8219475055099,77.4193548387097,80.6451612903226,70.9677419354839,32
12385,20,3902.57353457739,481.821427003293,22.3837760702525,54.8387096774194,61.2903225806452,38.7096774193548,32
13689,18,3334.63379501385,294.630517082179,19.325891043398,24.1379310344828,24.1379310344828,13.7931034482759,30
14904,18,3107.20789978678,465.907398720682,19.071236673774,20.6896551724138,17.2413793103448,34.4827586206897,30
15725,19,5454.48488095238,622.343601190476,24.02125,50,100,25,21
15959,19,5780.93235119048,742.704077380952,23.6065476190476,90,95,60,21
19179,18,3759.70069856459,642.293846889952,21.1431483253589,48.2758620689655,48.2758620689655,79.3103448275862,30
20057,20,2579.20348566681,297.047764852513,17.8092064810968,0,3.2258064516129,0,32
20562,18,1320.7012335958,126.32469816273,13.1074803149606,3.44827586206897,3.44827586206897,3.44827586206897,30
20602,21,3490.86443633952,602.507380636605,20.6490053050398,50,50,80,11
21777,19,5395.85952380952,787.554353741497,22.2218367346939,45,40,75,21
21859,20,3395.48932914046,472.509832285115,22.2660220125786,22.5806451612903,58.0645161290323,35.4838709677419,32
25203,19,2842.96126760563,313.447957746479,17.1188732394366,10,15,10,21
27841,19,147.06,8.78,6.65,0,0,0,21
28009,20,3573.79731036078,487.466177150786,21.1728168362627,35.4838709677419,41.9354838709677,41.9354838709677,32
28299,18,4710.02505477308,752.632723004695,22.7377777777778,82.7586206896552,72.4137931034483,89.6551724137931,30
28747,20,4783.95975730152,740.256240230358,23.2107897984369,80.6451612903226,90.3225806451613,93.5483870967742,32
