athlete_number,athlete_relative_age,athlete_gender_marker,athlete_sport,club_division,active_minutes,contributing_seconds,total_distance_m,total_high_intensity_distance_m,total_sprint_distance_m,high_intensity_events,sprint_events,avg_speed_kph,max_speed_kph,acceleration_events,deceleration_events,max_acceleration,max_deceleration,metres_per_minute,percentage_max_speed_kph,session_load
582,22,Male,association_football,DI,69,"4,140","8,045.80",312.81,10.59,36,2,7,25.68,76,60,6.96,7.79,116.61,88.97,"1,578.92"
582,22,Male,association_football,DI,53,"3,180","2,990.61",0,0,0,0,3.39,17.07,26,2,5.2,4.16,56.43,59.14,428.53
582,22,Male,association_football,DI,79,"4,740","4,143.04",124.83,0,10,0,3.15,24.69,57,46,5.78,6.38,52.44,85.53,774.56
582,22,Male,association_football,DI,79,"4,740","8,374.21",468.08,55.69,36,8,6.36,27.89,65,55,5.99,6.95,106,96.63,"1,561.25"
582,22,Male,association_football,DI,85,"5,100","5,358.37",93.67,24.65,10,3,3.78,27.51,46,42,5.8,6.27,63.04,95.31,829.19
"1,018",18,Female,association_football,DI,90,"5,400","3,880.64",37.04,43.95,4,2,2.59,24.26,31,12,4.79,4.92,43.12,59.31,458.53
"1,018",18,Female,association_football,DI,120,"7,200","2,742.19",34.5,21.11,4,1,1.37,26.04,18,17,4.86,6.01,22.85,61.98,357.28
"1,018",18,Female,association_football,DI,90,"5,400","5,627.94",111.04,0,10,0,3.75,22.02,24,26,5.74,5.56,62.53,52.42,"1,039.85"
"1,018",18,Female,association_football,DI,90,"5,400","4,359.94",16.65,0,2,0,2.91,21.78,42,34,4.84,5.1,48.44,51.83,561.44
"1,018",18,Female,association_football,DI,90,"5,400",484.12,0,0,0,0,0.32,4.78,0,0,0,0,5.38,11.38,15.35
"1,018",18,Female,association_football,DI,120,"7,200","1,319.92",6.28,0,1,0,0.66,19.37,1,0,3.79,0,11,46.1,143.63
"1,018",18,Female,association_football,DI,120,"7,200",377.49,0,0,0,0,0.19,8.09,0,0,0,0,3.15,19.25,38.1
"1,018",18,Female,association_football,DI,120,"7,200","5,641.85",7.7,0,1,0,2.82,19.92,33,35,5.13,5.12,47.02,47.4,762.98
"1,018",18,Female,association_football,DI,120,"7,200","2,835.94",0,0,0,0,1.42,18.8,24,17,4.93,5.12,23.63,44.74,389.32
"1,018",18,Female,association_football,DI,120,"7,200","4,559.67",13.14,0,2,0,2.28,21.5,31,38,4.47,5.67,38,51.16,629.93
"1,018",18,Female,association_football,DI,120,"7,200",436.85,0,0,0,0,0.22,8.34,0,0,0,0,3.64,19.84,45.68
"1,018",18,Female,association_football,DI,120,"7,200","5,759.73",84.02,25.25,8,2,2.88,25.41,43,37,5.06,5.73,48,60.47,860.16
"1,018",18,Female,association_football,DI,120,"7,200","5,661.50",240.9,47.68,21,7,2.83,24.22,32,43,6.26,6.51,47.18,57.63,893.52
"1,018",18,Female,association_football,DI,90,"5,400","1,907.20",6.23,0,1,0,1.27,19.72,6,3,5.06,3.89,21.19,46.94,188.24
"1,018",18,Female,association_football,DI,120,"7,200","2,625.19",0,0,0,0,1.31,17.31,19,11,4.1,4.59,21.88,41.2,311.75
"1,018",18,Female,association_football,DI,90,"5,400","1,592.27",14.11,3.96,2,1,1.06,23.05,4,2,4.05,4.28,17.69,54.87,177.96
"1,018",18,Female,association_football,DI,90,"5,400","2,873.59",48.13,8.61,7,1,1.92,24.48,13,26,5.11,7.02,31.93,58.27,479.39
"1,018",18,Female,association_football,DI,90,"5,400","1,579.99",30.25,6.91,5,1,1.05,22.88,3,11,4.79,8.77,17.56,54.45,280.12
"1,018",18,Female,association_football,DI,120,"7,200","2,772.64",0,0,0,0,1.39,18.58,6,1,5.47,3.23,23.11,45.41,291.84
"1,018",18,Female,association_football,DI,120,"7,200","8,274.06",167.71,44.43,21,3,4.14,24.82,37,50,4.73,5.68,68.95,60.68,"1,324.26"
"1,018",18,Female,association_football,DI,120,"7,200","5,324.10",18.49,22.19,4,3,2.66,25.61,24,25,5.38,5.86,44.37,62.61,770.28
"1,018",18,Female,association_football,DI,120,"7,200","5,636.81",29.56,0,4,0,2.82,22.4,34,37,4.88,5.99,46.97,54.76,758.99
"1,018",18,Female,association_football,DI,90,"5,400",846.76,0,0,0,0,0.56,10.02,1,1,3.74,3.01,9.41,24.49,68.07
"1,018",18,Female,association_football,DI,90,"5,400","2,120.28",21.83,3.54,2,1,1.41,23.02,9,13,5.56,5.23,23.56,56.27,389.05
"1,018",18,Female,association_football,DI,120,"7,200","5,038.21",148.26,"1,332.95",16,52,2.52,42.02,35,19,4.6,5.67,41.99,102.72,560.9
"1,018",18,Female,association_football,DI,120,"7,200","4,335.08",32.74,23.95,5,2,2.17,24.76,31,13,5.05,6.98,36.13,60.52,560.58
"1,018",18,Female,association_football,DI,120,"7,200","5,087.93",6.2,0,1,0,2.54,20.81,62,41,5.69,4.93,42.4,50.88,674.2
"1,018",18,Female,association_football,DI,90,"5,400","3,914.63",9.67,0,2,0,2.61,20.59,28,16,4.72,4.98,43.5,50.33,551.48
"1,018",18,Female,association_football,DI,120,"7,200","2,624.79",208.69,"1,822.47",23,38,1.31,40.84,1,3,2.42,3.22,21.87,99.83,444.55
"1,018",18,Female,association_football,DI,120,"7,200","5,625.62",337.05,"3,737.91",49,85,2.81,40.91,3,0,3.18,0,46.88,100.17,833.35
"1,018",18,Female,association_football,DI,90,"5,400","2,424.54",16.54,0,2,0,1.62,21.8,5,14,3.84,4.02,26.94,53.3,398.54
"1,018",18,Female,association_football,DI,90,"5,400","4,297.37",13.55,0,3,0,2.86,21.35,29,29,4.63,7.14,47.75,52.2,593.28
"1,018",18,Female,association_football,DI,90,"5,400","4,065.38",25.4,0,2,0,2.71,21.53,29,28,5.08,6.19,45.17,52.63,517.85
"1,018",18,Female,association_football,DI,85,"5,100","3,485.78",5.29,0,1,0,2.46,19.98,17,6,4.29,3.8,41.01,48.85,439.02
"1,018",18,Female,association_football,DI,90,"5,400","4,475.29",47.84,25.24,7,3,2.98,24.62,24,18,4.74,5.85,49.73,60.19,590.1
"1,018",18,Female,association_football,DI,120,"7,200",431.93,0,0,0,0,0.22,12.34,1,0,6.43,0,3.6,30.17,27.37
