athlete_number,athlete_relative_age,active_minutes,total_distance_m,max_speed_kph,session_load,total_dist_perc_rank,max_speed_perc_rank,session_load_perc_rank
1081,18,120,3203.96,20.39,402.97,40.65359477,32.87581699,40.39215686
1081,18,100,8361.25,26.06,1079.17,96.33986928,84.50980392,89.34640523
1081,18,90,3707.97,21.7,412.55,46.53594771,48.03921569,41.63398693
1081,18,90,2033.88,15.05,191.05,25.68627451,17.05882353,22.02614379
1081,18,90,7470.52,26.8,1045.55,92.54901961,89.28104575,88.30065359
1081,18,85,460.87,9.04,25.64,10.13071895,9.411764706,4.575163399
1081,18,90,7754.08,24.54,1023.42,93.7254902,72.87581699,87.12418301
1081,18,120,2673.96,40.9,444.83,33.52941176,98.23529412,45.09803922
1081,18,90,3913.49,20.29,499.2,50.39215686,31.76470588,51.37254902
1081,18,120,6336.99,23.58,1057.62,84.31372549,66.33986928,88.62745098
1081,18,120,5595.75,24.73,906.8,76.33986928,74.64052288,81.63398693
1081,18,90,2474,18.5,267.02,30.52287582,21.11111111,28.62745098
1081,18,120,5193.56,23.06,586.4,70.52287582,62.2875817,58.95424837
1081,18,120,2505.97,21.12,218.96,31.24183007,41.24183007,24.18300654
1081,18,120,368.66,7.24,24.94,4.836601307,4.575163399,4.052287582
1081,18,90,6250.11,26.71,882.39,83.33333333,88.95424837,80.19607843
1081,18,90,3471.5,24.62,673.91,43.39869281,73.52941176,66.14379085
1081,18,90,8117.72,27.39,1043.57,95.35947712,92.02614379,88.16993464
1081,18,90,1644.08,12.65,178.26,21.89542484,14.05228758,20.58823529
1081,18,90,5759.74,26.97,718.86,78.43137255,90.26143791,70.19607843
1081,18,120,3263.87,22.4,457.96,41.56862745,55.16339869,47.18954248
1081,18,90,7355.47,28.05,896.27,91.89542484,94.11764706,81.17647059
1081,18,120,2033.39,19.83,181.9,25.62091503,28.23529412,20.91503268
1081,18,120,6834.16,24.26,743.23,88.5620915,70.13071895,71.50326797
1081,18,120,5265.87,42.53,561.69,71.37254902,99.86928105,57.38562092
1081,18,120,6159.86,21.38,1103.83,82.15686275,44.77124183,90.45751634
1081,18,120,476.8,10.53,30.91,10.98039216,11.83006536,6.013071895
1081,18,90,7385.87,25.7,1002.14,92.15686275,82.54901961,86.14379085
2227,20,120,6491.61,22.45,741.44,88.11059908,57.41935484,79.53917051
2227,20,105,5359.72,19.52,766.29,79.7235023,22.48847926,81.10599078
2227,20,110,2756.57,22.37,333.37,22.21198157,56.12903226,23.96313364
2227,20,90,100.87,6.51,6.47,0.092165899,0.737327189,0.276497696
2227,20,110,723.16,17.27,76.25,4.331797235,9.861751152,4.700460829
2227,20,90,3668.85,22.1,475.91,47.92626728,52.16589862,51.42857143
2227,20,100,5422.53,22.8,669.02,80.82949309,61.84331797,73.82488479
2227,20,116,5364.42,24.07,798.08,79.9078341,77.41935484,82.85714286
2227,20,99,3911.98,21.83,394.24,54.10138249,48.01843318,35.66820276
2227,20,91,2012.69,23.44,400.37,13.640553,70.32258065,36.86635945
2227,20,80,3484.37,20.38,420.48,40.82949309,30.04608295,40.46082949
2227,20,90,824.75,19.16,116.17,5.714285714,19.07834101,7.004608295
2227,20,123,8095.3,20.82,1255.1,96.49769585,34.47004608,96.40552995
2227,20,105,3482.31,22.31,447.83,40.64516129,55.29953917,45.99078341
2227,20,75,801.68,13.02,80.09,5.34562212,4.700460829,4.884792627
2227,20,78,4588.82,23.32,726.06,70.41474654,68.94009217,78.24884793
2227,20,100,2001.41,18.86,296.28,13.5483871,16.68202765,19.44700461
2227,20,110,4832.57,25.4,604.28,74.65437788,88.75576037,67.92626728
2227,20,105,3272.9,21.29,409.85,34.74654378,40.64516129,38.43317972
2227,20,120,6774.86,20.83,968.07,90.32258065,34.83870968,90.23041475
2227,20,90,2763.17,21.83,448.06,22.48847926,48.01843318,46.17511521
2227,20,104,2318.14,23.84,355.05,16.12903226,75.29953917,28.38709677
2227,20,100,3852.53,21.28,441.55,52.99539171,40.46082949,44.70046083
2227,20,77,3471.07,22.7,378.83,40.1843318,60.46082949,32.81105991
2227,20,100,2545.63,21.75,377.36,18.80184332,47.09677419,32.16589862
2227,20,110,5475.45,22.49,712.83,81.38248848,57.78801843,77.32718894
2227,20,110,2954.99,22.37,355.91,27.37327189,56.12903226,28.57142857
2227,20,90,3375.33,21.64,417,37.32718894,45.43778802,39.63133641
2227,20,90,179.97,7.48,9.94,1.290322581,1.290322581,1.290322581
2227,20,90,1880.27,22.07,257.64,12.62672811,51.52073733,15.11520737
2227,20,110,4495.18,24.34,628.2,68.29493088,80,70.13824885
2227,20,90,221.44,13.08,25.16,2.488479263,4.884792627,2.764976959
2227,20,70,4141.19,24.53,501.91,60,81.19815668,56.03686636
2227,20,90,2030.76,20.61,249.37,13.82488479,32.07373272,14.74654378
2227,20,90,3766.15,20.89,449.53,50.69124424,35.39170507,46.5437788
2227,20,90,4191.37,21,629.99,60.92165899,37.32718894,70.41474654
2227,20,90,4756.44,25.08,670.2,73.5483871,86.359447,74.00921659
2227,20,90,1620.78,17.77,229.43,10.13824885,11.61290323,12.44239631
2227,20,90,4319.95,18.91,629.27,64.60829493,17.23502304,70.23041475
2227,20,90,3292.26,19.94,391.25,35.57603687,25.80645161,35.39170507
2227,20,90,2739.51,21.51,418.34,21.93548387,43.50230415,40
2227,20,90,4240.76,20.62,551.83,62.30414747,32.25806452,62.58064516
2227,20,90,4069.35,23.03,511.13,58.52534562,65.25345622,57.41935484
2227,20,90,4201.53,21.39,561.16,61.47465438,41.65898618,63.50230415
2227,20,90,1270.23,19.13,207.87,8.387096774,18.52534562,11.24423963
2227,20,76,2537.47,20.55,261.9,18.61751152,31.33640553,15.94470046
2227,20,90,4249.06,18.7,559.03,62.58064516,15.85253456,63.31797235
2227,20,90,2783.73,19.15,309.84,23.13364055,18.80184332,21.10599078
5841,20,110,3676.5,24.66,436.28,48.20276498,83.04147465,43.77880184
5841,20,105,2667.7,21.88,339.77,20.82949309,48.94009217,25.52995392
5841,20,120,4834.54,23.68,674.23,74.74654378,73.1797235,74.19354839
5841,20,90,2879.11,24.53,448.83,25.25345622,81.19815668,46.4516129
5841,20,104,1724.49,24.05,281.46,10.69124424,77.14285714,18.15668203
5841,20,90,4279.48,21.15,705.78,63.41013825,38.98617512,76.49769585
5841,20,110,2976.68,21.94,425.24,28.20276498,49.58525346,40.92165899
5841,20,105,3768.57,22.39,564.79,50.87557604,56.68202765,63.87096774
5841,20,100,3475.25,21.8,440.45,40.36866359,47.64976959,44.51612903
5841,20,70,4524.78,22.02,635.28,68.66359447,50.87557604,71.15207373
5841,20,77,3151.46,24.65,377.59,31.79723502,82.76497696,32.25806452
5841,20,100,2492.87,23.04,376.27,17.97235023,65.43778802,31.98156682
5841,20,105,7376.96,20.91,1213.34,93.91705069,35.66820276,95.76036866
5841,20,110,5268.27,22.82,814.41,79.17050691,62.30414747,83.77880184
5841,20,100,7578.38,22.27,1130.52,94.28571429,54.74654378,94.10138249
5841,20,110,5256.2,22.81,795.7,79.07834101,62.02764977,82.48847926
5841,20,90,3556.07,21.84,513.6,42.85714286,48.20276498,57.88018433
5841,20,92,2117.2,21.19,337.95,14.47004608,39.26267281,25.06912442
5841,20,90,2967.13,22.11,459.28,27.64976959,52.53456221,48.57142857
5841,20,110,4341.43,20.67,607.19,65.34562212,32.99539171,68.11059908
5841,20,90,2929.68,21.29,488.79,26.9124424,40.64516129,53.73271889
5841,20,70,3616.1,23.36,490.38,45.62211982,69.21658986,54.00921659
5841,20,90,669.68,17.48,85.57,3.963133641,10.59907834,5.806451613
5841,20,90,3532.53,21.65,468.62,42.39631336,45.62211982,50.59907834
5841,20,90,5472.01,20.88,808.34,81.29032258,35.29953917,83.59447005
5841,20,90,4545.44,21.48,702.67,69.30875576,42.67281106,76.12903226
5841,20,90,4659.41,22.6,706.41,72.16589862,58.98617512,76.58986175
5841,20,90,1320.72,17.26,187.78,8.847926267,9.769585253,9.861751152
5841,20,90,4394.41,21.14,612.62,66.4516129,38.80184332,68.66359447
5841,20,90,2794.52,19.66,324.8,23.59447005,23.68663594,23.13364055
5841,20,90,3542.76,20.78,395.04,42.58064516,34.10138249,36.12903226
5841,20,90,2902.05,20.93,374.64,25.89861751,35.85253456,31.61290323
5841,20,74,2853.87,14.58,294,24.60829493,6.820276498,19.26267281
5841,20,101,4811.06,18.13,613.49,74.47004608,12.71889401,68.84792627
5841,20,80,4714.85,22.62,537.22,72.62672811,59.26267281,60.82949309
5841,20,70,2567.57,21.94,278.56,19.26267281,49.58525346,17.51152074
5841,20,90,3273.43,20.87,388.28,34.83870968,35.02304147,34.74654378
5841,20,90,5641.61,19.12,829.44,82.48847926,18.43317972,84.88479263
5841,20,76,2977.27,22.27,401.84,28.29493088,54.74654378,37.14285714
5841,20,73,2442.21,17.54,279.69,17.78801843,10.78341014,17.69585253
5841,20,75,798.15,11.95,80.88,5.253456221,3.041474654,4.976958525
5841,20,90,614.84,14.05,64.44,3.778801843,6.6359447,3.686635945
5841,20,105,3124.67,21.41,406.59,31.05990783,41.75115207,37.88018433
5841,20,90,4471.45,22.7,657.41,67.64976959,60.46082949,72.71889401
5841,20,78,5488.59,20.96,787.11,81.56682028,36.22119816,81.84331797
5841,20,123,6404.3,24.79,903.22,87.64976959,84.05529954,88.75576037
5841,20,120,6153.29,23.1,753.28,85.71428571,66.26728111,80.2764977
5841,20,80,3351.67,19.95,413.32,36.77419355,25.99078341,38.98617512
5841,20,91,2988.88,20.24,599.27,28.57142857,28.29493088,67.55760369
5841,20,99,3431.23,19.48,353.31,38.70967742,21.84331797,27.92626728
5841,20,116,1880.21,20.4,241.91,12.53456221,30.23041475,13.3640553
5841,20,100,5242.81,22.79,660.11,78.80184332,61.56682028,73.1797235
5841,20,90,3561.12,22.93,507.1,43.41013825,63.77880184,56.77419355
5841,20,110,1216.76,17.11,118.59,8.01843318,9.493087558,7.096774194
5841,20,100,2238.22,18.53,285.11,15.29953917,15.20737327,18.43317972
6200,21,75,4615.09,26.46,433.76,74.77477477,89.18918919,41.74174174
6613,20,90,2391.25,21.44,298.39,17.23502304,42.11981567,19.63133641
6613,20,100,3579.46,18.34,403.01,44.23963134,13.82488479,37.32718894
6613,20,104,2904.64,24.51,413.53,25.99078341,81.01382488,39.07834101
6613,20,120,5545.11,21.87,687.77,81.84331797,48.66359447,75.02304147
6613,20,105,2927.51,24.09,356.96,26.8202765,77.78801843,28.94009217
6613,20,110,3842.2,25.17,458.31,52.71889401,87.28110599,48.29493088
6613,20,80,3241.71,19.19,367.18,33.640553,19.53917051,30.69124424
6613,20,90,2643.22,16.09,260.57,20.2764977,8.202764977,15.66820276
6613,20,90,4487.84,18.93,572.63,68.20276498,17.41935484,64.51612903
6613,20,76,2063.5,14.39,204.54,14.19354839,6.728110599,10.78341014
6613,20,90,1383.93,14.91,161.62,9.124423963,7.373271889,8.940092166
6613,20,90,3877.81,18.87,472.67,53.3640553,16.86635945,50.96774194
6613,20,90,2899.96,19.27,367.91,25.71428571,20,30.96774194
6613,20,90,6310.95,21.43,878.19,86.8202765,42.02764977,87.64976959
6613,20,90,2746.7,24.26,340.34,22.02764977,79.44700461,25.71428571
6613,20,90,3895.47,17.38,513.04,53.640553,10.04608295,57.69585253
6613,20,90,1874.09,15.66,225.79,12.35023041,7.834101382,12.07373272
6613,20,90,3958.37,20.6,550.48,56.12903226,31.98156682,62.30414747
6613,20,90,3265.07,20.58,391.12,34.56221198,31.52073733,35.29953917
6613,20,90,1871.78,20.27,216.24,12.16589862,28.75576037,11.61290323
6613,20,70,3090.46,17.29,374.74,30.69124424,9.953917051,31.70506912
6613,20,90,1186.24,20.52,180.53,7.741935484,30.96774194,9.493087558
6613,20,110,954.97,13.92,103.04,7.281105991,6.451612903,6.451612903
6613,20,90,3261.01,21.92,438.15,34.28571429,49.40092166,43.96313364
6613,20,90,7004.26,24.68,965.25,91.79723502,83.13364055,90.13824885
6613,20,78,4365.9,20.09,653.9,65.80645161,27.09677419,72.53456221
6613,20,100,1881.93,18.91,250.18,12.71889401,17.23502304,14.83870968
6613,20,75,833.77,12.08,83.32,5.99078341,3.225806452,5.161290323
6613,20,105,2876.48,21.46,348.84,24.97695853,42.39631336,27.18894009
