"athlete_number","athlete_relative_age","w_total_distance","w_session_load","w_max_speed_kph","w_sprint_events","total_dist_perc_rank","max_speed_perc_rank","session_load_perc_rank","sprint_events_perc_rank","num_sessions"
1018,18,3038.54830225711,417.214327772326,19.7737978410206,4.72227674190383,17.2413793103448,27.5862068965517,20.6896551724138,82.7586206896552,30
1081,18,4215.26591280654,556.681326067212,21.6092279745686,3.61852861035422,65.5172413793103,51.7241379310345,51.7241379310345,44.8275862068966,30
2227,20,3470.31891579407,463.201047120419,20.6325938045375,0.444153577661431,29.0322580645161,29.0322580645161,32.258064516129,16.1290322580645,32
5841,20,3683.54257109692,512.200576513832,21.1292184174889,0.521183981427742,45.1612903225806,38.7096774193548,48.3870967741936,25.8064516129032,32
6200,21,4615.09,433.76,26.46,6,90,100,40,90,11
6613,20,3531.90768321513,448.136120304702,19.9722616233255,0.39926451273969,32.258064516129,12.9032258064516,22.5806451612903,12.9032258064516,32
7181,20,3940.71749335695,565.84923826395,21.0804384410983,1.02568644818423,58.0645161290323,35.4838709677419,64.5161290322581,54.8387096774194,32
8588,18,3345.72607865169,442.347707865169,19.9798876404494,0.674157303370786,27.5862068965517,31.0344827586207,24.1379310344828,13.7931034482759,30
8993,21,3044.94463172043,418.65611827957,19.9796747311828,0.572311827956989,20,20,30,30,11
9385,18,4961.9743877551,811.175807823129,24.7486139455782,6.23214285714286,93.1034482758621,100,96.551724137931,100,30
10135,20,4668.08648367061,624.278553396113,22.8219475055099,2.01162091765177,77.4193548387097,80.6451612903226,70.9677419354839,80.6451612903226,32
12385,20,3902.57353457739,481.821427003293,22.3837760702525,2.20124405415295,54.8387096774194,61.2903225806452,38.7096774193548,83.8709677419355,32
13689,18,3334.63379501385,294.630517082179,19.325891043398,2.91412742382271,24.1379310344828,24.1379310344828,13.7931034482759,27.5862068965517,30
14904,18,3107.20789978678,465.907398720682,19.071236673774,4.14712153518124,20.6896551724138,17.2413793103448,34.4827586206897,68.9655172413793,30
15725,19,5454.48488095238,622.343601190476,24.02125,2.41666666666667,50,100,25,80,21
