"athlete_relative_age","count","weighted_avg_total_distance_m","weighted_avg_max_speed_kph","weighted_avg_session_load","weighted_avg_sprint_events","sd_total_distance_m","sd_max_speed_kph","sd_session_load","sd_sprint_events","top10_t_dist","bottom10_t_dist","top10_max_speed_kph","bottom10_max_speed_kph","top10_session_load","bottom10_session_load","top10_sprint_events","bottom10_sprint_events"
18,1531,3885.29477487391,21.205605074125,549.119544551429,3.54134189209843,2403.4102948372,7.01562969750468,407.748072882024,11.281592248988,7019.1,459.23,26.89,9.28,1090.54,37.7,5,0
19,306,5296.33868536372,21.8909465381245,701.176322524102,1.66976336546889,1871.2836771129,3.9061098472875,301.245900750174,2.43725504419089,7706.43,2958.235,25.96,17.83,1010.61,369.855,5,0
20,1086,4063.2161182646,21.5547444077103,542.822592947045,1.29430814144578,1943.83812921131,3.95313678621934,315.597454716072,2.38926332503639,6761.51,1580.405,25.505,17.335,955.34,189.57,4,0
21,334,3641.5240758483,21.7636526946108,543.401061876247,2.11810225702441,1603.80225201015,4.13003529060967,318.647998615011,3.70063152929764,5390.36,1683.178,26.625,16.205,988.641,210.513,7,0
